Total avoided impacts consider 2025 as baseline year,,,,,,,,,,,,
,,,,,,,,,,,,
GEM Unique ID,Unique plant name,Unit name,Location,Total avoided CO2 emissions (Mt),Total avoided deaths,Total avoided Work Loss Days (WLDs),Total investment (mn. USD),Economic spillover (mn. USD),Net permanent jobs created,Total temporary jobs created,Annual customer savings (mn USD),Savings per kWh (%)
L100000103634,Çan (18 Mart) power station,Unit 2,Turkiye,11.76,172,"8,667",$528.3,$10.0,62,140,$50.0,51%
L100000103601,İsken Sugözü power station,Unit 1,Turkiye,44.48,"1,108","53,569","$1,832.8",$34.8,171,466,$132.8,44%
L100000103601,İsken Sugözü power station,Unit 2,Turkiye,44.48,"1,108","53,569","$1,832.8",$34.8,171,466,$132.8,44%
L100000103708,Kangal power station,Unit 3,Turkiye,8.88,25,"1,240",$474.7,$9.0,44,121,$52.6,55%
L100000103617,Çayırhan power station,Unit 3,Turkiye,8.14,126,"6,348",$504.1,$9.6,53,131,$52.0,53%
L100000103617,Çayırhan power station,Unit 4,Turkiye,26.24,407,"20,455",$504.1,$9.6,53,131,$52.0,53%
L100000103698,Kemerköy power station,Unit 3,Turkiye,5.94,18,885,$629.0,$12.0,57,159,$70.9,55%
L100000103674,Afşin-Elbistan power stations,Unit a5,Turkiye,68.09,"1,223","58,681","$1,019.3",$19.4,88,256,$117.0,56%
L100000103674,Afşin-Elbistan power stations,Unit A6,Turkiye,68.09,"1,223","58,681","$1,019.3",$19.4,88,256,$117.0,56%
L100000103007,Hongsa power station,Unit 1,Laos,78.93,268,"13,018","$2,324.3",$44.2,220,620,$225.7,52%
L100000103007,Hongsa power station,Unit 2,Laos,78.93,268,"13,018","$2,324.3",$44.2,220,620,$225.7,52%
L100000103007,Hongsa power station,Unit 3,Laos,82.87,282,"13,668","$2,324.3",$44.2,220,620,$225.7,52%
L100000104780,Sekong power station (EPIC),--,Laos,147.10,259,"12,447","$3,609.5",$68.6,311,950,$292.9,47%
L100000104672,TSBP Sekong power station,Unit 1,Laos,53.60,129,"6,661","$1,082.8",$20.6,93,285,$58.2,37%
L100000104672,TSBP Sekong power station,Unit 2,Laos,53.60,129,"6,661","$1,082.8",$20.6,93,285,$58.2,37%
L100000104671,Phonesack Xekong power station,Unit 1,Laos,53.60,129,"6,661","$1,082.8",$20.6,93,285,$58.2,37%
L100000104671,Phonesack Xekong power station,Unit 2,Laos,53.60,129,"6,661","$1,082.8",$20.6,93,285,$58.2,37%
L100000104671,Phonesack Xekong power station,Unit 3,Laos,53.60,129,"6,661","$1,082.8",$20.6,93,285,$58.2,37%
L100000104671,Phonesack Xekong power station,Unit 4,Laos,53.60,129,"6,661","$1,082.8",$20.6,93,285,$58.2,37%
L100000104671,Phonesack Xekong power station,Unit 5,Laos,53.60,129,"6,661","$1,082.8",$20.6,93,285,$58.2,37%
L100000104671,Phonesack Xekong power station,Unit 6,Laos,53.60,129,"6,661","$1,082.8",$20.6,93,285,$58.2,37%
L100000104539,SMC Mariveles power station,Phase I Unit 3,Philippines,29.21,"1,306","67,582",$476.2,$9.0,50,123,$42.1,49%
L100000104539,SMC Mariveles power station,Phase I Unit 4,Philippines,28.05,"1,303","67,736",$476.2,$9.0,50,123,$39.7,48%
L100000104539,SMC Mariveles power station,Phase II Unit 5,Philippines,56.10,"1,875","93,215",$952.4,$18.1,101,245,$79.5,48%
L100000104539,SMC Mariveles power station,Phase II Unit 6,Philippines,56.10,"1,875","93,215",$952.4,$18.1,101,245,$79.5,48%
